,Year,Country,Emigrants,International migrants,Net migration,Net migration rate,Population,relative migration,relative migration net,Inmigrants,Inflation,PBI,Female population,Female population aged 20 to 29 years,Female population aged 30 to 39 years,Female population aged 40 to 49 years,Female population aged 50 to 59 years,Female population aged 60 to 69 years,Male population,Male population aged 20 to 29 years,Male population aged 30 to 39 years,Male population aged 40 to 49 years,Male population aged 50 to 59 years,Male population aged 60 to 69 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Returns by origin,Returns by host
47,2015,Colombia,2698688.0,159407.0,-193380.0,-0.834,47119730,0.0572729937119758,-0.0041040133294481,2505308.0,4.99 ,2.95590137527523,23847360,4089010,3568484,3085389,2616216,1602122,23272378,4147440,3496716,2909177,2403306,1421748,8236450,7065199,5994567,5019519,3023868,149,5
48,2020,Colombia,3024273.0,1905393.0,1023981.0,4.162,50930656,0.0593802090434491,0.0201053958543161,4048254.0,2.53 ,-7.04815120786543,25791078,4433870,4033000,3312095,2943886,2040866,25139590,4487384,4002572,3163919,2725198,1804275,8921253,8035574,6476016,5669082,3845139,240,3
49,1990,Costa Rica,69283.0,417628.0,17417.0,1.19,3158257,0.021937100115665,0.0055147506995155,86700.0,19.04 ,3.55306336572285,1566509,284415,225923,147377,100132,67296,1591761,288142,226675,148391,98602,64569,572558,452599,295769,198731,131863,1,0
50,1995,Costa Rica,84980.0,364287.0,69202.0,4.153,3572855,0.0237849003108158,0.0193688240916577,154182.0,23.19 ,4.15395304305277,1772779,294528,274217,186228,118929,81278,1800083,297793,275613,186315,118441,77487,592323,549829,372542,237372,158761,7,0
51,2000,Costa Rica,105227.0,310946.0,89527.0,4.77,3979189,0.0264443332548416,0.0224988056611535,194754.0,10.96 ,3.86871808818643,1976587,323703,304923,233331,148073,95914,2002612,329690,305284,232149,147771,92350,653393,610207,465478,295845,188266,4,2
52,2005,Costa Rica,117618.0,358398.0,41792.0,2.027,4315894,0.0272522911823135,0.0096832776708603,159410.0,13.80 ,3.97666636792908,2145826,366987,313576,280848,185884,114162,2170069,378018,313218,279526,183410,111008,745004,626795,560378,369292,225170,6,27
53,2010,Costa Rica,132317.0,405779.0,30339.0,1.369,4622250,0.0286261020065985,0.0065636865163069,162656.0,5.66 ,5.36034347985841,2301235,404000,334046,307279,230228,141595,2321032,419378,336776,304320,224872,137281,823381,670821,611593,455100,278875,1,19
54,2015,Costa Rica,138237.0,411697.0,19658.0,0.834,4895241,0.0282390591188462,0.0040157369167319,157895.0,0.80 ,3.65208096802883,2440177,414069,373387,314185,276089,176950,2455079,431145,381362,310343,269533,168236,845215,754747,624526,545622,345186,4,4
55,2020,Costa Rica,150241.0,520729.0,21000.0,0.845,5123107,0.0293261491512865,0.0040990750339588,171241.0,0.72 ,-4.05090817067276,2558491,402907,408768,334001,301904,218598,2564627,419235,421193,333371,293072,204513,822139,829963,667370,594977,423106,38,0
56,1990,Ecuador,214008.0,78663.0,-16998.0,-0.352,10449845,0.0204795382132462,-0.0016266269978167,197010.0,48.52 ,3.67991405278418,5210781,926435,669932,442297,288452,193062,5239056,939953,670717,439398,281266,177767,1866386,1340649,881697,569716,370832,356,0
